pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2013051829,1,2013,7,9,2012,0,0,1,4,4,4,3
2013051829,2,2013,7,0,0,0,0,1,17,99,0,3
2013004637,1,2013,6,3,2009,0,0,1,10,1,,3
2013004637,2,2013,6,5,2001,0,0,1,1,99,1,3
2013005925,1,2013,7,5,2012,0,0,1,1,3,1,3
2013052757,1,2013,7,7,2007,0,0,1,1,5,1,3
2013052757,2,2013,7,7,2011,0,0,1,1,99,1,3
2013015932,1,2013,7,6,2011,0,0,1,2,6,2,3
2013015932,2,2013,7,6,2004,0,0,1,1,99,1,3
2013043328,1,2013,7,8,2008,0,0,1,1,3,,3
2013043328,2,2013,7,8,1999,0,0,1,1,99,,3
2013033442,1,2013,7,9,1997,0,0,1,2,5,2,3
2013033442,2,2013,7,6,2009,0,0,1,1,4,1,3
2013033442,3,2013,7,7,2005,0,0,1,1,99,1,3
2013025971,1,2013,7,8,2003,0,0,1,1,5,1,3
2013025971,2,2013,7,8,2002,0,0,1,1,99,1,3
2013025971,3,2013,7,6,1994,0,0,1,1,4,,3
2013048840,1,2013,7,6,2010,0,0,1,1,99,1,3
2013051293,1,2013,6,8,2006,0,0,1,1,3,,3
2013051293,2,2013,6,6,2012,0,0,1,1,3,1,3
2013019165,1,2013,7,9,2008,0,0,1,12,4,,3
2013019165,2,2013,7,10,2008,0,0,1,1,3,2,3
2013019267,1,2013,1,2,2011,0,0,1,10,1,,3
2013029485,1,2013,7,11,2002,0,0,1,5,99,10,3
2013029485,2,2013,7,11,2009,0,0,1,5,99,10,3
2013025459,1,2013,6,6,2011,0,0,1,1,99,1,3
2013025459,2,2013,6,6,2012,0,0,1,1,99,1,3
2013060315,1,2013,6,2,2013,0,0,1,9,1,,3
2013056491,1,2013,7,7,2011,0,0,1,1,3,2,3
2013006805,1,2013,7,9,2010,0,0,1,11,14,5,3
2013051540,1,2013,7,8,1999,0,0,1,1,99,1,3
2013051540,2,2013,7,6,2001,0,0,1,1,99,,3
2013027265,1,2013,7,6,2011,0,0,1,1,99,2,3
2013027265,2,2013,7,13,2010,0,0,1,11,53,11,3
2013061384,1,2013,7,2,2007,0,0,1,10,1,,3
2013061384,2,2013,7,6,1997,0,0,1,1,4,,3
2013053427,1,2013,7,6,2006,0,0,1,1,4,2,3
2013053427,2,2013,7,6,2002,0,0,1,1,99,,3
2013005556,1,2013,7,6,2012,0,0,1,1,3,1,3
2013005556,2,2013,7,5,2000,0,0,1,1,99,1,3
2013022884,1,2013,7,6,2011,0,0,1,2,3,2,3
2013017232,1,2013,7,2,2008,0,0,1,9,1,,3
2013000908,1,2013,7,2,2011,0,0,1,9,1,,3
2013033955,1,2013,6,3,2011,0,0,1,10,1,1,3
2013054407,1,2013,6,2,2010,0,0,1,10,1,,3
2013054407,2,2013,6,0,0,0,0,1,17,99,0,3
