"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Reine",37,23,11,18,18,157,869,"1,026","3,481 ","4,614 ","15,623 ","ריינה"
"Rekhasim",32,0,4,4,17,17,141,158,"1,089 ","1,304 ","9,695 ","רכסים"
"Ramat Yishay",91,0,3,0,1,73,236,309,"2,677 ","3,081 ","7,199 ","רמת ישי"
"Shibli-Umm Al-Ghanam ",34,3,8,2,41,211,267,478,"1,328 ","1,894 ","5,386 ","שבלי-אום אל-גנם"
"Segev-Shalom",10,0,2,3,33,93,314,407,"811 ","1,266 ","8,188 ","שגב-שלום"
"Shoham",300,0,40,5,17,86,468,554,"6,485 ","7,401 ","19,423 ","שוהם"
"Shelomi",81,3,5,19,14,28,190,218,"1,791 ","2,131 ","6,155 ","שלומי"
"Sha'ab",28,0,5,0,31,43,240,283,"1,515 ","1,862 ","6,257 ","שעב"
"Tel Mond",188,6,11,11,15,99,422,521,"3,910 ","4,662 ","11,020 ","תל מונד"
"Tel Sheva",22,15,2,14,56,125,656,781,"1,636 ","2,526 ","16,983 ","תל שבע"
,,,,,,,,,,,,
"(1) The data are presented according to the registered locality  ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב"
"      (address) of the owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    ולא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
"(2) Population data - based on temporary estimate for the year 2012.",,,,,,,,,,,,"(2) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2012."
